text,label
"Congratulations! You’ve won 10,000,000 RWF. Send 50,000 RWF to claim.",threat
"URGENT: Pay 10,000 RWF now to avoid police action on your ID issue.",threat
Your account at BK is blocked. Click this link: fakebank.rw to reactivate.,threat
"Final notice: Pay 5,000 RWF to clear your customs package.",threat
"Hello, I mistakenly sent you 5,000,000 RWF. Please refund to 073XXXXXXX.",threat
Your Mobile Money account has been locked. Call 073XXXXXXX for help.,threat
"Congratulations! You’ve won 5,000,000 RWF. Send 5,000 RWF to claim.",threat
Your WhatsApp will be deleted unless you verify at lottery-claim.com.,threat
"Get a job at Police Department by paying 20,000 RWF processing fee.",threat
Your WhatsApp will be deleted unless you verify at lottery-claim.com.,threat
"Get a job at Police Department by paying 10,000 RWF processing fee.",threat
"Get a job at Rwanda Revenue Authority by paying 50,000 RWF processing fee.",threat
"Get a job at Police Department by paying 5,000 RWF processing fee.",threat
"MTN lottery winner! You have 1,000,000 RWF. Send 50,000 RWF for activation.",threat
Your Mobile Money account has been locked. Call 078XXXXXXX for help.,threat
"MTN lottery winner! You have 100,000 RWF. Send 5,000 RWF for activation.",threat
"Your sim card has been deactivated. Send 10,000 RWF to reactivate now.",threat
Your package is out for delivery.,safe
Let's catch up this weekend!,safe
Happy Birthday! Wishing you all the best.,safe
"Hey, are we still meeting at 3 PM?",safe
Congratulations on your promotion!,safe
Family dinner is at 7 PM tonight.,safe
Congratulations on your promotion!,safe
Your subscription has been renewed successfully.,safe
Your subscription has been renewed successfully.,safe
Your subscription has been renewed successfully.,safe
"Hey, are we still meeting at 3 PM?",safe
Can you send me the presentation slides?,safe
Your flight has been confirmed.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Congratulations on your promotion!,safe
Your package is out for delivery.,safe
Your flight has been confirmed.,safe
Happy Birthday! Wishing you all the best.,safe
Your flight has been confirmed.,safe
Your package is out for delivery.,safe
Your flight has been confirmed.,safe
Your subscription has been renewed successfully.,safe
Your subscription has been renewed successfully.,safe
Your package is out for delivery.,safe
Can you send me the presentation slides?,safe
Your subscription has been renewed successfully.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Happy Birthday! Wishing you all the best.,safe
Happy Birthday! Wishing you all the best.,safe
Your flight has been confirmed.,safe
Can you send me the presentation slides?,safe
Let's catch up this weekend!,safe
Can you send me the presentation slides?,safe
"Hey, are we still meeting at 3 PM?",safe
"Hey, are we still meeting at 3 PM?",safe
Happy Birthday! Wishing you all the best.,safe
"Hey, are we still meeting at 3 PM?",safe
Happy Birthday! Wishing you all the best.,safe
Can you send me the presentation slides?,safe
Family dinner is at 7 PM tonight.,safe
Happy Birthday! Wishing you all the best.,safe
Your package is out for delivery.,safe
Your flight has been confirmed.,safe
Family dinner is at 7 PM tonight.,safe
"Hey, are we still meeting at 3 PM?",safe
Family dinner is at 7 PM tonight.,safe
Your subscription has been renewed successfully.,safe
Your package is out for delivery.,safe
Happy Birthday! Wishing you all the best.,safe
"Hey, are we still meeting at 3 PM?",safe
Your flight has been confirmed.,safe
Congratulations on your promotion!,safe
Your subscription has been renewed successfully.,safe
Your subscription has been renewed successfully.,safe
Congratulations on your promotion!,safe
Family dinner is at 7 PM tonight.,safe
Your package is out for delivery.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Happy Birthday! Wishing you all the best.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Congratulations on your promotion!,safe
Happy Birthday! Wishing you all the best.,safe
Your flight has been confirmed.,safe
Can you send me the presentation slides?,safe
Your flight has been confirmed.,safe
Family dinner is at 7 PM tonight.,safe
Congratulations on your promotion!,safe
"Hey, are we still meeting at 3 PM?",safe
Let's catch up this weekend!,safe
Your subscription has been renewed successfully.,safe
"Hey, are we still meeting at 3 PM?",safe
Happy Birthday! Wishing you all the best.,safe
Let's catch up this weekend!,safe
Family dinner is at 7 PM tonight.,safe
Your subscription has been renewed successfully.,safe
Congratulations on your promotion!,safe
Congratulations on your promotion!,safe
Let's catch up this weekend!,safe
Your subscription has been renewed successfully.,safe
Your flight has been confirmed.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your subscription has been renewed successfully.,safe
Happy Birthday! Wishing you all the best.,safe
Family dinner is at 7 PM tonight.,safe
Your flight has been confirmed.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Can you send me the presentation slides?,safe
Your flight has been confirmed.,safe
Your flight has been confirmed.,safe
Family dinner is at 7 PM tonight.,safe
Your subscription has been renewed successfully.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your flight has been confirmed.,safe
Family dinner is at 7 PM tonight.,safe
Let's catch up this weekend!,safe
Your package is out for delivery.,safe
Congratulations on your promotion!,safe
Your package is out for delivery.,safe
Your package is out for delivery.,safe
Family dinner is at 7 PM tonight.,safe
Your package is out for delivery.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your subscription has been renewed successfully.,safe
Can you send me the presentation slides?,safe
Let's catch up this weekend!,safe
Your package is out for delivery.,safe
Happy Birthday! Wishing you all the best.,safe
Happy Birthday! Wishing you all the best.,safe
Your flight has been confirmed.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Family dinner is at 7 PM tonight.,safe
Your subscription has been renewed successfully.,safe
Family dinner is at 7 PM tonight.,safe
Happy Birthday! Wishing you all the best.,safe
Your flight has been confirmed.,safe
Your subscription has been renewed successfully.,safe
Congratulations on your promotion!,safe
Congratulations on your promotion!,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your flight has been confirmed.,safe
Family dinner is at 7 PM tonight.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Congratulations on your promotion!,safe
Your package is out for delivery.,safe
Your subscription has been renewed successfully.,safe
Your package is out for delivery.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
"Hey, are we still meeting at 3 PM?",safe
Let's catch up this weekend!,safe
Your package is out for delivery.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Happy Birthday! Wishing you all the best.,safe
"Hey, are we still meeting at 3 PM?",safe
Congratulations on your promotion!,safe
Family dinner is at 7 PM tonight.,safe
Your subscription has been renewed successfully.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your subscription has been renewed successfully.,safe
"Hey, are we still meeting at 3 PM?",safe
Can you send me the presentation slides?,safe
Your package is out for delivery.,safe
Your flight has been confirmed.,safe
Your flight has been confirmed.,safe
Your subscription has been renewed successfully.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your package is out for delivery.,safe
Congratulations on your promotion!,safe
Congratulations on your promotion!,safe
Your subscription has been renewed successfully.,safe
Happy Birthday! Wishing you all the best.,safe
Can you send me the presentation slides?,safe
"Hey, are we still meeting at 3 PM?",safe
Your package is out for delivery.,safe
Happy Birthday! Wishing you all the best.,safe
Congratulations on your promotion!,safe
Can you send me the presentation slides?,safe
Happy Birthday! Wishing you all the best.,safe
Congratulations on your promotion!,safe
Congratulations on your promotion!,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Congratulations on your promotion!,safe
Let's catch up this weekend!,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your package is out for delivery.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Let's catch up this weekend!,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Family dinner is at 7 PM tonight.,safe
Let's catch up this weekend!,safe
Your package is out for delivery.,safe
"Hey, are we still meeting at 3 PM?",safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Can you send me the presentation slides?,safe
Let's catch up this weekend!,safe
"Hey, are we still meeting at 3 PM?",safe
Let's catch up this weekend!,safe
Can you send me the presentation slides?,safe
"Hey, are we still meeting at 3 PM?",safe
Your subscription has been renewed successfully.,safe
Your subscription has been renewed successfully.,safe
Can you send me the presentation slides?,safe
Let's catch up this weekend!,safe
"Hey, are we still meeting at 3 PM?",safe
Let's catch up this weekend!,safe
Happy Birthday! Wishing you all the best.,safe
Your subscription has been renewed successfully.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Let's catch up this weekend!,safe
Can you send me the presentation slides?,safe
Let's catch up this weekend!,safe
Family dinner is at 7 PM tonight.,safe
Let's catch up this weekend!,safe
Your subscription has been renewed successfully.,safe
Happy Birthday! Wishing you all the best.,safe
"Hey, are we still meeting at 3 PM?",safe
Let's catch up this weekend!,safe
"Hey, are we still meeting at 3 PM?",safe
Family dinner is at 7 PM tonight.,safe
Happy Birthday! Wishing you all the best.,safe
Your package is out for delivery.,safe
Let's catch up this weekend!,safe
"Hey, are we still meeting at 3 PM?",safe
Family dinner is at 7 PM tonight.,safe
Happy Birthday! Wishing you all the best.,safe
Happy Birthday! Wishing you all the best.,safe
"Hey, are we still meeting at 3 PM?",safe
Let's catch up this weekend!,safe
Let's catch up this weekend!,safe
Can you send me the presentation slides?,safe
Family dinner is at 7 PM tonight.,safe
Your flight has been confirmed.,safe
Your subscription has been renewed successfully.,safe
Let's catch up this weekend!,safe
Family dinner is at 7 PM tonight.,safe
Your flight has been confirmed.,safe
Your subscription has been renewed successfully.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your flight has been confirmed.,safe
"Hey, are we still meeting at 3 PM?",safe
Family dinner is at 7 PM tonight.,safe
Your subscription has been renewed successfully.,safe
Can you send me the presentation slides?,safe
Family dinner is at 7 PM tonight.,safe
Your flight has been confirmed.,safe
Family dinner is at 7 PM tonight.,safe
Happy Birthday! Wishing you all the best.,safe
Let's catch up this weekend!,safe
Your package is out for delivery.,safe
Family dinner is at 7 PM tonight.,safe
Your package is out for delivery.,safe
Happy Birthday! Wishing you all the best.,safe
Can you send me the presentation slides?,safe
Let's catch up this weekend!,safe
Can you send me the presentation slides?,safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Your subscription has been renewed successfully.,safe
Happy Birthday! Wishing you all the best.,safe
Your subscription has been renewed successfully.,safe
"Hey, are we still meeting at 3 PM?",safe
Reminder: Your doctor’s appointment is tomorrow.,safe
Can you send me the presentation slides?,safe
"Hey, are we still meeting at 3 PM?",safe
Your package is out for delivery.,safe
Your subscription has been renewed successfully.,safe
Let's catch up this weekend!,safe
Your subscription has been renewed successfully.,safe
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
URGENT: Your friend is in trouble. Send money now to help!,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
URGENT: Your friend is in trouble. Send money now to help!,threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
URGENT: Your friend is in trouble. Send money now to help!,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
Your mobile money account has been compromised. Call +2507XXXXXXX to recover.,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Security Alert: Someone tried logging into your bank. Verify here: fakebank.com,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
Final warning! Update your MoMo PIN now: phishing-link.org,threat
Your SIM card will be blocked in 24 hours. Dial *123# to verify now.,threat
URGENT: Your friend is in trouble. Send money now to help!,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
"Dad is in hospital, please send 50,000 RWF urgently to this number.",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
Airtel promo: Get double your deposit. Click this link: malware-site.com,threat
"Airtel Money: You received 100,000 RWF. Claim now: phishing-link.net",threat
"You won 500,000 RWF! Send 5,000 RWF to process the payment.",threat
MTN MoMo: Your account is blocked. Click here to unlock: fake-link.com,threat
Good morning! Hope you have a great day.,safe
Dinner plans still on for tonight?,safe
Your phone bill payment was successful.,safe
Dinner plans still on for tonight?,safe
Your phone bill payment was successful.,safe
Happy New Year! Wishing you success and happiness.,safe
Happy New Year! Wishing you success and happiness.,safe
Happy New Year! Wishing you success and happiness.,safe
Your electricity bill has been paid successfully.,safe
Your electricity bill has been paid successfully.,safe
Movie night this Friday? Let me know!,safe
Can you help me with my project tomorrow?,safe
Happy New Year! Wishing you success and happiness.,safe
Can you help me with my project tomorrow?,safe
Can you help me with my project tomorrow?,safe
Reminder: Your gym session is scheduled for 6 PM.,safe
Can you help me with my project tomorrow?,safe
Can you help me with my project tomorrow?,safe
Can you help me with my project tomorrow?,safe
Your phone bill payment was successful.,safe
Dinner plans still on for tonight?,safe
Meet me at the coffee shop at 2 PM.,safe
Your car service appointment is confirmed.,safe
Can you help me with my project tomorrow?,safe
Your phone bill payment was successful.,safe
Can you help me with my project tomorrow?,safe
Your electricity bill has been paid successfully.,safe
Your electricity bill has been paid successfully.,safe
Dinner plans still on for tonight?,safe
Good morning! Hope you have a great day.,safe
Movie night this Friday? Let me know!,safe
Your electricity bill has been paid successfully.,safe
Your car service appointment is confirmed.,safe
Reminder: Your gym session is scheduled for 6 PM.,safe
Can you help me with my project tomorrow?,safe
Your car service appointment is confirmed.,safe
Your car service appointment is confirmed.,safe
Your phone bill payment was successful.,safe
Meet me at the coffee shop at 2 PM.,safe
Reminder: Your gym session is scheduled for 6 PM.,safe
Your electricity bill has been paid successfully.,safe
Reminder: Your gym session is scheduled for 6 PM.,safe
Meet me at the coffee shop at 2 PM.,safe
Your electricity bill has been paid successfully.,safe
Reminder: Your gym session is scheduled for 6 PM.,safe
Happy New Year! Wishing you success and happiness.,safe
Your electricity bill has been paid successfully.,safe
Happy New Year! Wishing you success and happiness.,safe
Happy New Year! Wishing you success and happiness.,safe
Your electricity bill has been paid successfully.,safe
Can you help me with my project tomorrow?,safe
Meet me at the coffee shop at 2 PM.,safe
Can you help me with my project tomorrow?,safe
Happy New Year! Wishing you success and happiness.,safe
Your phone bill payment was successful.,safe
Good morning! Hope you have a great day.,safe
Your phone bill payment was successful.,safe
Meet me at the coffee shop at 2 PM.,safe
Movie night this Friday? Let me know!,safe
Your phone bill payment was successful.,safe
Can you help me with my project tomorrow?,safe
Happy New Year! Wishing you success and happiness.,safe
Meet me at the coffee shop at 2 PM.,safe
